Year,Finland,Greece,Q1,Q2,Q3,Q4
X1979,13.51597977,11.15701962,26354,26658,27770,27772
X1980,13.59587955,11.20625019,27248,27304,27982,27829
X1981,13.64536953,11.57326031,27531,27838,28517,28065
X1982,13.88683033,11.89927959,28010,28018,29036,28004
X1983,14.10404015,12.03938007,27758,28301,29477,29131
X1984,14.36748981,12.49981976,29302,30199,30877,30654
X1985,14.55002022,12.79986,30825,31199,32056,31575
X1986,14.69509029,12.98775005,31606,32213,33473,32685
X1987,14.84891987,13.03046989,32591,33579,34368,34157
X1988,15.03017044,12.98151016,33572,34520,35402,35079
X1989,15.26214027,12.92545986,34752,35314,36368,35952
X1990,15.69993019,12.90157032,35810,36251,37132,35766
X1991,15.95250034,13.13677502,35550,35790,36210,35544
X1992,16.68338013,13.37197971,36146,36444,36959,36265
X1993,16.71813965,13.24339008,36427,36964,37525,37203
X1994,17.07076073,13.12596989,36698,37035,38043,37769
X1995,17.12863922,13.31700039,37266,38087,38458,38430
X1996,17.43792915,13.38199997,38312,38817,39703,39260
X1997,17.52551079,13.50236988,39129,40058,41346,40900
X1998,17.76733971,14.2494297,40392,40923,42059,41754
X1999,18.0056591,14.23246002,41593,42400,42853,42931
X2000,18.43663025,14.58329964,43628,44155,44494,44136
X2001,18.81011009,15.05580044,44157,44519,44509,43638
X2002,18.92732048,15.55430031,43592,43752,44056,43545
X2003,19.05843925,15.56875992,43826,44332,44197,43948
X2004,17.58408928,15.87561989,43832,44266,44427,44369
X2005,17.71664047,16.42885017,44165,45090,45649,45713
X2006,17.74218941,16.47909927,45519,45897,47173,46843
X2007,17.71583939,15.88624001,46836,46372,47122,47835
X2008,17.6805191,16.07366229,47182,47360,47025,
X2009,17.4090004,16.26108456,45139,44711,44701,44298
X2010,17.51332092,16.63592911,43794,44562,44912,44620
X2011,17.6331501,16.75041008,44077,44539,44548,44779
X2012,17.63688087,16.99040031,44808,45450,45508,46084
X2013,20.0920105,17.13558006,45777,46030,46469,46796
X2014,20.07926941,17.56778908,46673,46840,47353,47438
X2015,20.15888023,17.9777,47833,48131,48472,48900
